业务板块,业务类型,序号,细分场景,内部处理办法及流程,对客话术,涉及反馈部门/微信群/工单模板,图片示例,,
售前业务,新办实名报错,41,报错提示“该车牌已办理ETC不能再次办理”,“通行宝”→资格查询，查询车牌占用状态。,"您好，我们核实到您的车牌已于 [XXXX年XX月] 办理了 [XX发行方] 的ETC业务。

请您先拨打全国高速ETC服务热线 95022 办理注销手续，注销成功后，即可重新申办解悠ETC。",/,,,
售前业务,新办实名报错,42,报错提示“货车必填字段不存在、货车必传字段不存在”,让用户核实该页面的车轴数是否填写。,"您好，经查询，此报错是由于您未完整填写车轴数及车辆外形尺寸等信息。

请您返回上一页面，核实并补充完整所有信息后，再次点击提交。",/,"=DISPIMG(""ID_2AD47D0F11AB4635961CED10E1C85B09"",1)",,
售前业务,新办实名报错,43,报错提示“车牌信息与录入的不一致”/识别不出/识别有误,"原因：受手机机型/光线/拍照角度/证件本字迹是否模糊等因素影响，
处理方法：让客户通过手机自带相机拍照后上传提交。","您好，为确保信息准确识别，建议您使用手机自带相机拍摄清晰图片进行上传。

如操作后仍有报错，请及时联系解悠客服，我们将第一时间为您排查处理。",/,,,
售前业务,新办实名报错,44,绑定银行卡提示“@@账户@@记录不存在”,"让用户检查填写的银行卡号或身份信息。
（银行绑卡失败会提示，触发银行四要素校验，需要联系银行处理）","您好，此报错信息是由银行系统返回的。

建议您先尝试更换您本人名下的其他银行卡进行操作。若问题依旧，需要您联系发卡银行核实账户状态或交易限制的具体原因。",/,"=DISPIMG(""ID_D2278DFA308846E5AB3BFA60AA9CC268"",1)",,
售前业务,新办实名报错,45,绑定银行卡界面收不到验证码,该报错是银行返回的，需要客户联系银行方核实确认如何解决，建议客户先更换本人名下其他银行卡尝试操作,"您好，此报错信息是由银行系统返回的。

建议您先尝试更换您本人名下的其他银行卡进行操作。若问题依旧，需要您联系发卡银行核实账户状态或交易限制的具体原因。",/,,,
售前业务,新办实名报错,46,绑定银行卡提示“客户账户记录不存在”,该报错需要客户核实输入的银行卡号是否正确。,"您好，此报错可能是银行卡号输入有误导致的。

请您仔细核对卡号是否准确无误，修改后重新尝试操作。",/,,,
售前业务,新办实名报错,47,绑定银行卡提示“手机号不匹配，请检查上送的手机号，xxx””,让用户核实银行手机预留号与填写的是否一致。,"【初步诊断与询问】
您好，请您核实一下，您填写的手机号是否与银行预留的手机号完全一致？

【根据核实结果提供解决方案】
情况一：手机号不一致

您好，此报错是由于您填写的手机号与银行预留号码不一致导致的。

请您填写您在银行端预留的正确手机号后，即可继续操作。

情况二：手机号一致

您好，此报错信息是由银行系统直接返回的。

建议您先尝试更换本人名下的其他银行卡进行操作。若问题依旧，需要您联系发卡银行，核实您的账户状态或交易限制的具体原因。",/,,,
售前业务,新办实名报错,48,绑定银行卡提示“请先前往货车新办完善信息(上传身份证照片)”,需要客户前往解悠小程序重置实名成功后再继续操作绑定银行卡。,"您好，此报错需要您先完成实名认证核验。

请您按以下路径操作：

进入 “解悠货车服务” 小程序

点击底部 【我的】

选择 【实名认证】 → 【重置实名】 → 【立即认证】

认证成功后，即可继续绑定银行卡。",/,,,
售前业务,新办实名报错,49,绑定银行卡提示“风控审核不通过”,绑定银行卡提示该报错，可以让客户尝试其它银行卡绑定，若更换绑定还是相同报错，则是客户被风控，无法绑定银行卡。,"您好，此报错建议您先更换名下其他解悠支持的银行卡尝试绑定。

若更换后仍出现相同报错，则说明您的账户信息可能触发了银行风控系统，暂时无法绑定银行卡。",/,,,
售前业务,新办实名报错,50,"宝付渠道绑定银行卡提示“该银行已经完成绑卡,无法再进行绑卡”","1.登录后台查询
客服登录 9901系统，进入“客户列表”，根据客户提供的车牌号或办理手机号查询到对应客户信息。

2.重新验证银行绑定
在客户详情页中，找到并点击 “验证银行绑定” 功能按钮。重新填写相关信息：
① 绑卡人姓名（需与银行卡开户名一致）
② 银行卡号
③ 银行预留手机号
填写完毕后点击 提交。

3.同步客户重试
①提交成功后，告知客户 等待5分钟 后重新尝试绑卡操作。
②若5分钟后仍报错，引导客户提供报错截图，创建工单反馈技术核实。

4.注意事项
①确保填写的信息与客户银行卡信息完全一致（姓名、卡号、预留手机号）。
②若客户反馈信息有误，引导客户确认银行卡状态及预留手机号是否正确。","您好，您遇到的此问题，需要后台帮您重置验证信息，请您稍等。

您的问题已帮您核实处理，请您过5分钟后重新尝试操作。如果5分钟后仍然报错，请您提供报错截图，我会为您反馈技术进一步核实。感谢您的配合！",工单类型【9901划扣问题】,,,
售前业务,新办实名报错,51,绑定银行卡提示“支付渠道异常，请联系客服”,收集报错截图、客户信息（姓名、手机号、车牌号）流转工单至【客服组长】处理。,"您好，您遇到的报错我们已详细记录，并提交至技术部门进行核查。

待有回复我们会第一时间告知您。感谢您的耐心等待。",工单类型【9901划扣问题】,,,
售前业务,新办实名报错,52,解黑提示“该签约协议号已在状态名单中，请勿重复下黑”,"1.排查：收集客户信息（车牌号或办理手机号）发送至客服组长处查询状态名单。
2.处理方案：将客户查询的状态名单是否正常、报错截图、客户信息流转工单至【客服组长】处理。","您好，您遇到的报错我们已详细记录，并提交至技术部门进行核查。

待有回复我们会第一时间告知您。感谢您的耐心等待。",工单类型【9901划扣问题】,,,
售前业务,新办实名报错,53,报错提示“车户不一致”或“请检查表单信息，修改后重新提交”,"根据行驶证所有人信息：
1.个人户选择“个人”上传，公司户名选择“企业”。
2.若车户不一致为“个户”，行驶证所有人改为办理人的姓名即可；
3.办理过程中注意核载人数，车牌颜色，以及车轴数量；
4.如上传信息不一致，可以点击左下角手动修改。确认后再提交车辆信息；
注：如若客户信息一致，需要收集客户信息（手机号、身份证照片）反馈客服组长查询路网开户信息并核实。","您好，“车户不一致”报错通常由以下原因导致，请您根据行驶证所有人信息进行核对与修改：

【账户类型选择错误】

行驶证所有人为个人姓名，请选择 【个人】。

行驶证所有人为公司名称，请选择 【企业】。

【个人信息不匹配】

若为个人户，请确保填写的办理人姓名与行驶证上的“所有人”姓名完全一致。

【基础信息填写错误】

请仔细核对并确保核载人数、车牌颜色、车轴数量等与行驶证记录一致。

【修改通道】

如信息有误，可点击页面左下角的手动修改按钮进行修正，确认无误后再次提交。

请您按以上步骤排查后重试。",/,"=DISPIMG(""ID_BC4312EC1B3043DEAB7C266C204B91DD"",1)",,
售前业务,新办实名报错,54,新办过程中“出错”,移除小程序重新搜索进入，如果无法解决，流转工单至【客服组长】处理。,"您好，此报错可能是由于小程序缓存异常导致。

请您先彻底关闭并移除“解悠货车服务”小程序，然后重新搜索进入即可恢复正常操作。

若办理过程中仍有任何报错，请及时联系解悠客服，我们将第一时间为您排查处理。",工单类型【9901划扣问题】,,,
售前业务,新办实名报错,55,新办提示：当前车牌已在其他发行方办理，请勿重复办理,"1.系统核实订单
客服登录 9901 系统，进入“订单管理”模块，根据客户办理车牌号或手机号查询是否存在订单记录。

2.情况一：存在订单
协助客户取消该订单，取消后引导客户重新尝试办理。

3.情况二：不存在订单

3.1收集客户信息：车牌号、办理人姓名、联系电话、报错页面完整截图

3.2创建 CRM 工单，反馈至技术部门核实处理。

3.3待技术团队返回处理结果后，由客服联系客户，告知结果并引导其重新尝试办理。","【核实订单】

您好，我需要先帮您核实一下系统中的订单情况，请您稍等。

【根据核实结果提供解决方案】

情况一：查到有订单
经查询，您的车牌下已有一个办理订单，现需要我帮您取消这个订单，取消后，您再尝试操作。

已为您成功取消。建议您等待10-20分钟后再重新提交新办申请。
注意：如客服无法操作取消时，需转技术处理取消订单。

情况二：未查到订单
系统里没有查到您的订单。我需要帮将此情况反馈至技术核实处理，麻烦您提供：车牌号、姓名、联系电话，以及报错页面的截图。预计处理完成后会第一时间联系您，届时您再重新尝试办理。感谢您的配合！",,,,
售前业务,新办实名报错,56,新办提示“未获取车辆用户信息，不允许办理”,客服前往9901系统【订单管理】操作取消订单,"您好，此报错需要我处为您取消订单，取消成功后您重新申请即可。

我现在为您申请取消，取消过程需要您接收短信验证码。请问您现在方便接收吗？",/,,,
售前业务,激活进度条报错,1,"新办激活30%,执行指令通道正在写入",移除小程序重新搜索进入小程序,"您好，为确保激活流程顺利进行，请按以下步骤操作：

1.移除当前打开的“解悠货车服务”小程序

2.在微信中重新搜索该小程序

3.再次进入并完成激活操作

如有问题可随时联系解悠客服为您跟进处理。",/,,,
售前业务,激活进度条报错,2,新办激活45%，执行指令通道正在写入,"后台车辆尺寸信息填错，只能取消订单重新货车新办
注：若核实尺寸信息正确，需要流转工单至【客服组长】处理。","【车辆信息修正指引】

您好，我们核实到您填写的车辆尺寸信息有误。为了确保后续通行顺畅，需要请您取消当前订单后，参照行驶证信息重新填写并提交办理。

【问题升级处理通知】

您好，您反馈的报错我们已提交技术部门紧急处理。我们将持续跟进进展，并在收到回复后第一时间联系您，感谢您的耐心配合。",工单类型【9901划扣问题】,"=DISPIMG(""ID_5F828D183C494BC0B055149A446E68A1"",1)",,
售前业务,激活进度条报错,3,新办激活45%，请求失败，请重新发起obu二次发行,,,,,,
售前业务,激活进度条报错,4,新办激活45%，提示“6983”,"1.更换一套新设备进行激活；
2.若还是无法激活，提供相关截图、车牌号流转工单至【客服组长】处理。","情况一：【需更换新设备】

您好，根据报错提示，建议您更换一套新的ETC设备重新尝试激活。

若更换后仍有问题，请及时联系解悠客服，我们将为您进一步排查处理。

情况二：【需提交技术核查】

您好，请您提供报错界面截图及车牌号，我们将立即提交技术部门进行核查。

待有回复我们会第一时间告知您，感谢您的耐心等待与配合。",工单类型【9901划扣问题】,"=DISPIMG(""ID_226ABB8209714289A27D1975819AEA5B"",1)",,
售前业务,激活进度条报错,5,新办激活50%，提示“请求失败 此卡已二次发行”,"1.核实设备号卡号后4位/后1位是否一致；                     2.更换一套设备尝试激活；
3.将车牌号发送给客服组长查询是否新办激活成功，及激活的设备号/卡号。","【初步诊断与询问】

您好，请您核实设备背面刻印的设备号，与卡片正面的卡号后4位（或后1位） 是否一致？

【根据核实结果提供解决方案】

情况一：设备号与卡号一致

您好，经核实，此报错需要您更换一套新的ETC设备进行操作激活。

请您将当前这套设备进行回收处理，我们会为您安排新设备的申领流程。

情况二：设备号与卡号不一致

您好，由于您的设备号与卡片尾号不匹配，导致无法激活。

ETC设备与卡片为一一配套绑定，请您使用原配的卡片与设备重新尝试激活操作。

情况三：车牌已激活成功

您好！经查询，您的车牌已于 [XXXX年XX月XX日] 成功激活。

激活成功的设备号为：[具体设备号]
对应的卡片尾号为：[卡片尾号]

请您将该设备牢固安装于前挡风玻璃上，并操作二次激活。激活成功后，即可正常通行使用。",/,,,
售前业务,激活进度条报错,6,新办激活50%、55%失败，写卡检查,,,,,,
售前业务,激活进度条报错,7,新办激活进度条提示“请求失败 请重新发起obu二次发行”,将客户信息收集流转工单至【客服组长】处理。,"您好，您反馈的报错问题我们已加急提交至技术部门核查。

我们会在收到回复后的第一时间主动联系您，请您耐心等待。",工单类型【9901划扣问题】,,,
售前业务,激活进度条报错,8,新办进度条20%提示“请求失败 proListNo必填”,"原因：1.订单超过7天；2.在中国ETC激活成功；3.已注销设备再次激活、核实设备号卡号后四位或后一位是否一致。
（1、3步骤需要客户收集信息（车牌号、设备号）通过后台“订单管理”、“设备入库”排查；步骤2需要通过询问客户或将车牌号。）
处理方案：
1.后台“订单管理”查询订单超过7天：在解悠小程序重新创建订单(即申办ETC)；
2.在中国ETC激活成功的，直接使用即可；
3.已注销设备再次激活：更换设备；
4.更换一套设备进行激活。
注：以上步骤均不可操作，则反馈路网释放车牌，再让客户重新办理。
①将客户姓名、手机号、车牌号及颜色反馈至路网群解绑释放；
②解绑邮件涉及邮箱：etc_xuanzhuang@163.com
模板：贾xx，134xxxx0045，晋J12345F，黄绿牌，解绑原因：解绑重新办理。","【订单超时处理】

您好，由于您创建的订单已超过7天有效期，系统已自动取消。

请您进入“解悠货车服务”小程序，点击【首页】→【申办ETC】即可重新办理。

【设备激活指引】

您好！系统显示您的车牌已于（XX月XX日）成功激活。

激活信息
设备号：（具体设备号）
卡片号：（卡片尾号）

请将设备牢固安装于前挡风玻璃，完成二次激活后即可正常使用。

【设备更换通知】

您好，经查询您提供的设备号为二次发行设备，无法重复使用。

请您更换一套全新的ETC设备来完成激活流程。

【问题升级告知】

您好，您的问题我们已提交技术部门加急处理。

我们会在收到回复后的第一时间主动联系您，请您耐心等待。",路网（网路智联→解悠数科货车ETC售后沟通）,,,
售前业务,激活进度条报错,9,新办激活10%-15%失败，预检失败,"1.核实设备号卡号后4位/后1位是否一致；
2.更换一套设备尝试激活；                                           
3.解悠小程序重置实名后再操作。","【初步诊断与询问】

您好，请您核对设备背面刻印的设备号与卡片正面的卡号后4位（或后1位） 是否一致？

【根据核实结果提供解决方案】
 情况一：设备号与卡号一致

您好，此情况需要您更换一套新的ETC设备进行激活操作。

当前这套设备请进行回收处理，感谢您的配合。

情况二：设备号与卡号不一致

您好，由于设备号与卡片尾号不匹配导致无法激活。

ETC设备与卡片为配套使用，请您使用原配的卡片与设备重新尝试激活。

【实名认证更新指引】

同时，请您按以下路径更新认证信息：

进入""解悠货车服务""小程序

点击【我的】→【实名认证】→【重置实名】→【立即认证】

完成认证后即可继续办理",/,,,
售前业务,激活进度条报错,10,新办激活15%提示“获取系统信息失败：9303”,更换一套设备尝试激活。,"您好，根据报错提示，您需要更换一套新的ETC设备来完成激活。

我处需对您当前这套设备进行回收处理，感谢您的配合。",/,,,
售前业务,激活进度条报错,11,"新办激活时提示10010（激活进度0）、二次激活提示打开OBU失败，10020执行失败。
","方法一.检查蓝牙
1.需检查设备、手机是否都打开蓝牙；
2.手机设置微信定位权限打开（手机设置—权限—微信—定位权限改成始终允许）；
3.周围是否有其他蓝牙设备，如耳机、手机、ETC设备，包括车上的，车载蓝牙等，需先全部关闭。
方法二.删除小程序，微信升级到最新版，再尝试。
方法三.建议更换手机尝试。","方法一：【检查蓝牙与定位权限】

开启蓝牙：请确保您的手机蓝牙与ETC设备蓝牙均已打开。

授权定位：请在手机系统设置中，将微信的定位权限设置为 “始终允许”。

排除干扰：请暂时关闭周围其他的蓝牙设备（如耳机、其他手机、车载蓝牙等）。

方法二：【更新微信与小程序】

请将微信升级到最新版本。

移除当前的小程序后，重新搜索进入再试。

方法三：【更换手机尝试】
如果上述方法均无效，建议您更换一部手机尝试激活，以判断是否为手机兼容性问题。",/,,,
售前业务,激活进度条报错,12,新办激活进度条10%，报错提示：车辆为货车，但卡签不是货车套装卡签,"此报错是由于客户选择的产品跟设备不匹配导致的，例如：选择的9901产品，但到激活步骤用1101（速通）的设备去操作激活。

处理流程：可通过【9901后台-订单管理】判断发行方。","【说明问题】
您好，您当前遇到的激活报错，是因为选择的产品与使用的设备不匹配导致的。例如：您选择了9901产品，但激活时用了1101产品设备，系统就会提示报错。

【给出解决方案】
我这边需要先帮您取消当前订单，取消后，您重新选择对应发行方的产品进行办理即可。请问需要我现在帮您取消订单吗？

【客户确认取消后，告知后续操作】
好的，已为您取消订单。请您等待10分钟左右重新选择对应的产品办理即可。",,,,
售前业务,激活进度条报错,13,"点击设备激活后，显示“搜索蓝牙设备成功”，且进度条为0。

搜索蓝牙设备失败:10002扫描超时（进度条为0）。",在进度条界面重新打开ETC设备蓝牙（连续快速插拔卡两次，设备蓝牙打开）后，再点击重新搜索，点击连接后即可。,"您好，请按以下步骤开启设备蓝牙并完成连接：

1.开启蓝牙：在当前界面，请您连续、快速地插拔ETC卡片两次，当设备屏幕显示“蓝牙已打开”时，即表示成功开启。

2.搜索连接：然后，请您先点击 【重新搜索】 ，在设备列表中找到您的设备后，再点击 【连接】。

3.完成激活：连接成功后，即可继续完成激活流程。",/,"=DISPIMG(""ID_4E7AE5EE698A48F39BE917B3D3F75BDA"",1)",,
售前业务,激活进度条报错,1,线上自主办理时实名信息是[张三]，若在[张三]收到设备后，想用[李四]信息进行办理，或线上自主办理时填写的车牌是[A]，若客户收到设备后实际需要办理的是车牌[B],"1.首先取消[张三]的订单（押金按照流程申请退回）；
2.其次用[李四]的办理手机号前往解悠小程重新申请新的自主办理订单（需交押金）；
3.最后确认新订单支付押金后，再反馈9901技术关联之前设备的订单即可（无需再发设备）。
注：若客户不认可此方案，需要退货，邮费需要客户进行承担。","您好，若您需要更换办理人，请按以下流程操作：

第一步：【取消原订单并申请退费】

首先需要为您取消原订单。

然后，请您提供带有订单编号的押金支付截图。

我们将据此为您申请退款，押金预计在【5-7个工作日】内原路退回。

第二步：【重新提交新订单】

待原订单取消后，请使用新申请人的办理手机号登录。

进入 “解悠货车服务”小程序，重新申请设备并支付押金。

支付成功后，请务必反馈给我们，我们将为您提交至相关部门进行后续处理。",工单类型【9901划扣问题】,,,
售前业务,激活进度条报错,2,线上自主办理押金/设备费158元/买断费299元、买断费399元已支付，客户申请取消订单的注意事项（取消订单只限于未激活成功的车辆）,"1.确认设备退回情况

①核实客户是否已将ETC设备（含ETC卡）寄回我司。

②若尚未退回，告知客户需先寄回设备，收到后再办理取消。

2.核对运费

①依据“旧设备回收表”查询该笔订单对应的运费金额。

②运费由客户承担，从押金/设备费中扣除。

3.计算退款金额

①退款金额 = 客户原支付金额（押金/设备费或买断费）－ 运费。

②买断费产品若已激活则不支持取消，此处仅适用于未激活车辆。

4.操作取消订单

①在后台系统中为客户操作取消订单。

②退款金额按上述计算结果填写。

5.提交退款工单

创建工单至支持岗，附上：

①客户信息（姓名、车牌号、手机号）

②原支付订单截图（含订单编号）

③产品后台【业务运营-审批管理】中该条审批流截图

④旧设备回收表中运费标注截图

⑤退款金额计算说明

6.特殊场景处理

若客户明确表示继续办理（不取消）或要求立即取消（未退回设备）：

①客服需先与支持岗口头确认该订单的运费金额。

②同样按「押金 - 运费」计算退款金额。

②客户同意后，在未收到设备的情况下可操作取消，但务必在工单中备注“客户同意运费扣减，设备未退回”。

7.退款到账时间

告知客户退款将在5-7个工作日内原路退回。","第一步：确认设备退回情况

（设备未退回）：

您好，关于您申请取消订单并退款的事宜，目前需要您先将ETC设备（含ETC卡）寄回我司。我们收到设备后，才能为您办理订单取消和退款。退款时需扣除您的设备寄回运费，剩余款项会在订单取消后 5-7个工作日 内原路退回。

（设备已退回）：

您好，您的设备退回信息已收到。现在为您办理订单取消和退款。

第二步：核对运费并计算退款金额

（告知扣费及退款金额）：

根据规定，退款金额需扣除您寄回设备的运费。经核实，您的原支付金额为【XX】元，运费为【XX】元，实际退款金额为【XX】元。您确认无误后，我为您操作取消订单。

第三步：操作取消订单并提交工单

好的，我已为您操作取消订单。退款将在 5-7个工作日 内原路退回您的支付账户。请您耐心等待。

第四步：特殊场景处理（客户要求立即取消，设备未退回）

您好，如果您需要立即取消订单（设备未退回），我们需要先与相关专员确认核实。确认后，退款同样按「押金 - 运费」计算，您同意后我们可为您操作取消。
（确认后）
经确认，运费为【XX】元，退款金额为【XX】元。请问您是否同意按此金额退款？
（客户同意后）
好的，我已为您操作取消。退款将在5-7个工作日内原路退回。","工单类型：退款申请→支持岗
模板：姓名、联系方式、车牌号，申请设备费/押金xxx元，烦请登记。",,,
售前业务,激活进度条报错,3,线上自主办理押金/设备费158元已支付，在激活进度条有报错，无法新办激活,"在订单管理→操作→点击重新激活。
注：已完成支付的订单若有相关报错，禁止点击取消订单。",/,/,,,
售前业务,取消订单,4,未激活成功前，为客户本人/代理需要取消订单，可提供验证码,"可直接联系客服后台取消订单
1.订单创建时效小于30分钟：15分钟重新办理；
2.订单创建时效大于30分钟：5分钟重新办理；
3.等待激活设备：10至20分钟可重新办理。
注：等待激活设备若需要取消订单，务必将客户信息发给客服组长进行查询激活状态后再操作，以防客户前往中国ETC小程序操作激活。","【操作前风险确认】

您好，我们将从后台为您取消此订单。为避免影响您后续办理，请务必暂停任何激活操作。若订单激活后被强制取消，将可能导致您短期内无法新办，从而耽误使用。

请问您确认需要现在取消吗？

【执行取消操作】

请您提供收到的短信验证码，我们将立即为您在后台操作取消。

【取消成功后指引】（根据订单状态）

订单创建 < 30分钟

已为您成功取消。请您等待15分钟后重新提交新办申请。

订单创建 > 30分钟

已为您成功取消。请您等待5分钟后即可重新提交新办申请。

订单处于待激活状态

已为您成功取消。建议您等待10-20分钟后再重新提交新办申请，以确保系统数据同步完成。",/,,,
售前业务,取消订单,5,后台取消订单提示“车辆不存在”、签约银行卡绑定车户信息提交提示“车辆不存在”,"1.让客户尝试重新货车新办。
2.若重新办理还是不行，流转工单至【客服组长】处理。","情况一：【引导客户重试并承诺支持】

您好，此报错需要您重新提交新办申请。

若在办理过程中再次遇到任何报错，请及时反馈给解悠客服，我们将立即为您排查处理。

情况二：【问题已升级处理】

您好，您遇到的情况较为特殊，我们已为您加急反馈至技术部门进行处理。

我们会在收到回复后的第一时间主动联系您，请您耐心等待。",工单类型【9901划扣问题】,,,
售前业务,取消订单,6,取消订单时出现报错,"反馈至网路智联群进行操作，核实状态未激活并释放该车牌。
注：若需要补邮件，模板如下：
①将客户姓名、手机号、车牌号及颜色反馈至路网群解绑释放；
②解绑邮件涉及邮箱：etc_xuanzhuang@163.com
模板：贾xx，134xxxx0045，晋J12345F，黄绿牌，解绑原因：解绑重新办理。","【风险确认】

您好，我们即将从后台为您取消订单。需要特别提醒您：取消期间请勿进行设备激活操作，若激活后强制取消，可能导致您短期内无法办理新设备，从而影响您的正常使用。
请您确认是否继续执行取消订单？

【进度同步】

订单已成功取消！请您等待10-20分钟系统数据同步后，重新尝试办理。
温馨提示：重新办理时如遇问题，可随时联系客服获得支持。",/,,,
售前业务,取消订单,7,订单手机号非客户本人，无法提供验证码,订单手机号非客户本人：提供保单、绿本、行驶证三选二，客服反馈路网取消订单，取消后再重新办理。,"【请求补充材料】

您好，请您从保单、车辆登记证（绿本）、行驶证中，任选其中两项材料提供给我们，以便后续流程的推进。

【问题已处理并引导后续操作】

您好，您的问题已提交至相关部门处理完成。

请您等待10至20分钟后重新尝试办理即可。",/,,,
售前业务,取消订单,8,代理咨询，既无法提供相关证件，也无法提供验证码,客服直接对客回访，回访后登记工单给组长报备即可。若客户不方便接电话，可让客户联系在线客服，提供保单、绿本、行驶证三选二（无需组长回复，只报备此情况，便于组长统计数量）,"【对代理的即时指引】

您好，请您提供您的代理工号，并同步告知客户：为保障业务安全，稍后将有专员进行电话回访确认，请其保持电话畅通。

【客户回访标准话术】

开场与确认：

您好，这里是解悠ETC服务中心。我们看到您正在申请办理ETC业务，现需要与您核对几条信息以确保为您正常服务，请问您现在方便接听电话吗？

请问您是车牌号 [XXXXX] 的车主本人吗？

请问您是否出于本人真实意愿申请办理解悠ETC业务？

请问为您现场办理的工作人员工号是多少？

结束与指引：

好的，信息已为您核对完毕并提交处理。请您在【10至20分钟】后重新尝试提交申请即可。

备选方案（如客户不愿电话核实）：

您好，如果您不便电话核实，也可以通过微信搜索 “解悠货车服务”小程序，点击首页右下角 【人工客服】 ，提供 保单、车辆登记证（绿本）、行驶证（三选二） 给我们。客服核实无误后，后台将为您解除车牌占用状态。",/,,,
售前业务,取消订单,9,客户新办订单超时（>7天），系统自动取消，客户申请退还押金,"退费（押金）工单处理流程（涉及超期订单）：

1.发起与流转：客服端创建退费工单，注明“由于新办订单超期，系统自动取消订单导致我处无法获取相关退款截图，烦请技术老师生成退款审批流并将截图附在工单上返回至我处”后，流转至技术端。
2.审批与反馈（技术端职责）：技术端负责生成退款审批流，并将生成的退款截图作为附件直接上传至该工单，随后将工单回退至客服端。
3.特殊情况处理（截图获取）：若因技术端无法即时获取截图或客户紧急需求，客服端可协调具备权限的客服总监岗查询并补充截图。",您好，您反馈的此情况，经核实，您之前创建的订单时效超过7天，我处目前无法获取相关信息，针对此情况，我处帮您反馈技术端协助处理，处理后您的退款将在5-7个工作日内返回至原支付账户，届时请您注意查收。,,,,
售后业务,发票类,1,怎么开票？,需要主动询问客户是开通行费发票及服务费发票。,您好，请问您是需要开具ETC通行费发票还是解悠服务费发票呢？不同发票的开具渠道有所不同，我可以为您提供具体的操作指引,/,,,
售后业务,发票类,2,ETC过路费开票怎么开？,通过解悠小程序首页→开发票跳转绑定申请开出。,"您好，请您按以下步骤绑定ETC卡并申请开票：

微信搜索并进入 “解悠货车服务” 小程序。

点击首页的 【开发票】 按钮。

系统将自动跳转至 “e路畅行票根” 平台，请允许此操作。

在票根平台，点击选择ETC卡片。

在绑定卡片时，请按以下信息填写：

发行方：请选择 “北京”

卡种：请选择 “个人卡”

（如需开具公司发票，可在此步骤添加公司抬头）

绑定成功后，返回页面点击 【我要开票】 即可完成申请。

",/,,,
售后业务,发票类,3,通行费发票能开专票吗？,通行费发票是统一普票开出。,"您好，关于通行费普票与专票的具体开具事宜，均由全国高速官方平台 “e路畅行票根” 小程序统一处理。

请您直接咨询【e路畅行票根】小程序的在线客服，或拨打全国高速客服热线 95022，他们将为您提供最专业的解答。",/,,,
售后业务,发票类,4,为什么昨天的通行，票根没有显示？,/,"【关于通行记录同步的说明】

【同步时效】：您的通行记录通常在通行后7天内同步至“票根”系统，请您在此时间范围内耐心等待。

【常见现象】：在此期间，可能出现以下情况，均属正常现象：

1.后通行的记录先显示，而先通行的记录未显示。

2.往返行程只显示了单程。

3.同时通行的记录，部分已显示，部分未显示。

原因说明：由于全国高速公路网络庞大，各省市路段的数据处理和传输至中央系统存在时间差，导致记录同步有先后。

温馨提示：只要未超过7天，请您无需担心，耐心等待数据同步完成即可。",/,,,
售后业务,发票类,5,票根开票报错提示“XXX等1张卡已在大客户端被绑定!”,/,"第一步：先确认是否已开通“大客户开票”
您目前无法直接绑定开票，通常是因为您的ETC卡已在公司大客户端（而非个人票根端）开通了开票功能。

请您先与以下人员核实一下：

公司的ETC车辆管理员。

ETC预留手机号的实际使用人。

第二步：根据核实结果进行处理
情况一：确认已开通大客户开票
如果确认已经开通，需要由公司的ETC卡管理人员操作以下步骤：

登录公司的大客户开票平台。

找到对应的车辆卡片，进行 “解绑”或“移除” 操作。

解绑成功后，您再登录个人“票根”APP或小程序，即可正常绑定卡片进行开票。

情况二：未开通，但手机号非本人
如果您核实后确认未开通大客户功能，只是因ETC预留手机号不是您本人的导致无法授权：

这种情况下，您需要联系ETC预留手机号本人，请其协助完成短信验证授权即可。",/,,,
售后业务,发票类,6,解悠服务费、通道费、周卡卡费违约金(包括新车主代办注销并代缴违约金)等发票怎么开?,"说明：
1.发送开票申请的起止时间；
2.开具电子普/专票，税率为6%服务费；（6%的税率由我司承担）
3.电子票，采集邮箱。
开票规则：
1.申请开票为每个月的1日至10日（支持岗操作）；  
2.开票期间为往期未开票至上月底，开票需整月申请；                     
3.当月申请开票，次月20日前统一开出；    
注：服务费发票以后台支付时间进行导出计算金额。
【特殊说明】新车主代缴违约金申请开服务费发票，填写新车主本人信息，【备注】中描述“此车为本人购买的二手车，现已支付违约金，特此开票”即可。","【服务费发票申请指南】

开票规则说明：

1.开票依据：服务费发票根据您的账单支付时间进行核算。

2.申请周期：请按月申请（例如：1月1日 - 1月31日）。

3.开票时间：我们将在次月20日前统一开具并发出。

申请流程：

1.请您扫描下方二维码，进入开票申请页面。

2.准确填写办理人相关信息并提交。

3.发票最晚将于次月20日前开具，并发送至您预留的电子邮箱，请注意查收。

温馨提示：您在当月（例如7月）提交申请，我们将为您合并开具该月所有服务费发票，并一次性发送至您的邮箱。",/,"=DISPIMG(""ID_DD17FD1B74F54D04AC041C76B83A3174"",1)",,
售后业务,发票类,7,服务费发票的项目名称注意事项,解悠服务费发票开出的项目名称是[软件开发服务*信息技术服务*服务费],/,/,,,
